sid,langPair,srcKo,answerKo,transEn,transJa,transCn,isSlang,tags
"s001","KO_EN","오늘 모임 ㄹㅇ 레전드였음.","레전드","Today's meetup was literally legendary.","今日の集まりはマジでレジェンドだった。","今天的聚会真是传奇。",true,"MZ"
"s002","KO_EN","이 영상 진짜 꿀잼이야.","꿀잼","This video is really fun.","この動画は本当に面白い。","这视频真的很有趣。",true,"MZ"
"s003","KO_EN","그 소식 듣고 현타가 왔다.","현타","After hearing the news, reality hit me.","その知らせを聞いて現実に戻った気がした。","听到那个消息后我突然清醒了。",true,"MZ"
"s004","KO_EN","이번 게임은 노잼이었어.","노잼","This game was boring.","このゲームはつまらなかった。","这场游戏很无聊。",true,"MZ"
"s005","KO_EN","오늘 컨디션이 역대급이야.","역대급","My condition is the best ever today.","今日は過去最高のコンディションだ。","我今天状态历史级别地好。",true,"MZ"
"s006","KO_JP","그 밈은 요즘 완전 유행이야.","밈","That meme is super trendy these days.","そのミームは最近大流行だ。","那个梗最近很火。",true,"MZ"
"s007","KO_JP","오늘도 오운완 했지?","오운완","Workout done for today, right?","今日も運動完了したよね？","今天也完成运动了吧？",true,"운동"
"s008","KO_JP","갑분싸 분위기라서 말 아꼈다.","갑분싸","The mood suddenly got awkward so I kept quiet.","急にしらけた雰囲気になって黙った。","气氛突然冷场我就不说话了。",true,"상황"
"s009","KO_CN","드립 치다가 킹받게 했다 미안.","킹받","Sorry I made you pissed while joking.","冗談言っててムカつかせてごめん。","开玩笑时把你惹火了抱歉。",true,"MZ"
"s010","KO_CN","오늘 점심은 혜자였다.","혜자","Lunch was such a great value today.","今日のランチはコスパ最高だった。","今天午饭性价比超高。",true,"MZ"
"s011","KO_CN","요즘 갓생 살려고 노력 중이야.","갓생","I'm trying to live a disciplined 'god-life' lately.","最近は“神生”を目指して規則正しく過ごしてる。","最近在努力过“神生”。",true,"MZ"
"s012","KO_EN","규칙적인 수면이 집중력을 높인다.","집중력","Regular sleep improves concentration.","規則的な睡眠は集中力を高める。","规律睡眠能提高专注力。",false,"건강"
"s013","KO_JP","문제의 원인을 분석하고 해결책을 제시했다.","분석","We analyzed the cause and proposed a solution.","原因を分析し解決策を提示した。","分析了原因并提出了方案。",false,"분석"
